task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
64	39/e26f2c	nf-39e26f2c681a0cb81e84f00953d3e555-5316f	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R1)	COMPLETED	0	2026-01-07 13:17:32.262	50.7s	16s	91.0%	19.3 MB	46 MB	617.5 MB	67.9 MB
63	0c/874fee	nf-0c874fee3ddd408e7bcd6ba129f45158-ae032	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2)	COMPLETED	0	2026-01-07 13:17:12.224	1m 38s	1m 12s	235.9%	91.3 MB	657.8 MB	5.6 GB	2.8 GB
65	08/094840	nf-080948408aa0075d714f946e649dd6eb-c0ee7	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R1)	COMPLETED	0	2026-01-07 13:18:07.305	49.7s	29s	93.9%	12.8 MB	39.3 MB	1.2 GB	126.1 MB
67	ec/650675	nf-ec6506755f9bb086ce9f55727fa6a3c0-a572f	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R2)	COMPLETED	0	2026-01-07 13:18:52.289	17.7s	7s	93.1%	18.5 MB	45.1 MB	254.3 MB	31.6 MB
66	18/6b6a7b	nf-186b6a7b6af938b32a6dea65c526c640-372f2	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R2)	COMPLETED	0	2026-01-07 13:18:28.001	44s	16s	99.7%	30.3 MB	56.7 MB	546 MB	38.2 MB
68	fa/0bce7e	nf-fa0bce7e5f9c8118b555d021b9e5fd3f-b2bac	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1)	COMPLETED	0	2026-01-07 13:19:02.246	55.8s	42s	71.2%	32 MB	58.4 MB	982.2 MB	60.9 MB
69	91/3dd40c	nf-913dd40c4ff33694ade05c60dd3db40c-3fa9f	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R2)	COMPLETED	0	2026-01-07 13:19:12.335	1m 55s	1m 51s	272.4%	4.6 GB	5.6 GB	5.2 GB	5.1 GB
70	0f/5123f0	nf-0f5123f0e9cae215148998099e4b0693-32dc6	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R2)	COMPLETED	0	2026-01-07 13:21:12.249	42.8s	41s	93.0%	17.4 MB	220.9 MB	2.6 GB	2.5 MB
71	99/190aaa	nf-99190aaaa1978ca934b2683776aca121-1f6b9	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R2)	COMPLETED	0	2026-01-07 13:22:13.584	10.4s	1s	8.8%	3.1 MB	5.4 MB	2.7 MB	5.4 KB
72	5a/de950c	nf-5ade950c27c2ac9da6efb5d97b93b086-b3774	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R2)	COMPLETED	0	2026-01-07 13:22:28.596	31.4s	31s	117.5%	7.5 MB	220.9 MB	2.6 GB	5.3 KB
74	a0/a17f50	nf-a0a17f505b204e32c12abcd60f3c5304-7c33a	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (5)	COMPLETED	0	2026-01-07 13:22:13.633	1m 43s	1m 33s	125.7%	1.7 GB	1.9 GB	2.8 GB	528.3 MB
73	0d/1520fa	nf-0d1520fa1c72ac22f9a46bb45e28b865-d8fa6	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R2)	COMPLETED	0	2026-01-07 13:23:03.566	1m 17s	1m 16s	144.4%	1.2 GB	1.3 GB	2.6 GB	36.6 MB
76	df/67efad	nf-df67efad4b91c59eff70c247b0382bc9-e19ac	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R2)	COMPLETED	0	2026-01-07 13:24:01.209	23.8s	22s	89.0%	19.9 MB	46.4 MB	792.5 MB	87.2 MB
75	0f/c626b0	nf-0fc626b08a37ef1fecbbfad6f0871304-e47c6	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2)	COMPLETED	0	2026-01-07 13:22:13.529	4m 40s	4m 26s	117.8%	8.5 GB	9.9 GB	3 GB	910.1 MB
77	64/ca4dce	nf-64ca4dce7ff366de67aef846b811ac7e-5a53d	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R2)	COMPLETED	0	2026-01-07 13:26:58.907	47.1s	43s	96.8%	37.9 MB	64.2 MB	1.3 GB	81.9 MB
27	d8/d32b05	nf-d8d32b056b076abadc6cb6a9edd01546-8e9dd	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R3)	COMPLETED	0	2026-01-07 12:34:41.945	1h 30m 22s	1h 12m 9s	591.8%	21.1 GB	21.7 GB	13 GB	5.5 GB
78	57/5b38b3	nf-575b38b3c74ec0338bce5ae5fd8d5b07-99117	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R3)	COMPLETED	0	2026-01-07 14:05:08.783	1m 29s	1m 16s	219.4%	61.7 MB	657.8 MB	5.5 GB	2.8 GB
79	92/162d45	nf-92162d450c4b0b85e2e1a9391c3dee1b-00f1a	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3)	COMPLETED	0	2026-01-07 14:06:43.780	1m 57s	1m 50s	276.5%	4.6 GB	5.6 GB	5.2 GB	5.1 GB
